"date","Total_expenditure","growth_rate"
2010-03-01,119573.166666667,1.32632250920841
2010-04-01,121138.333333333,1.30896145874424
2010-05-01,122703.5,1.29204903484996
2010-06-01,123746.333333333,0.849880674417047
2010-07-01,124789.166666667,0.842718572132783
2010-08-01,125832,0.835676173813171
2010-09-01,126996.333333333,0.9253078178312
2010-10-01,128160.666666667,0.916824370257396
2010-11-01,129325,0.908495066088921
2010-12-01,127593.666666667,-1.33874605322507
2011-01-01,125862.333333333,-1.3569116544447
2011-02-01,124131,-1.37557701933595
2011-03-01,124830.833333333,0.563786107687325
2011-04-01,125530.666666667,0.560625379680491
2011-05-01,126230.5,0.557499893784241
2011-06-01,127274.5,0.82705843674864
2011-07-01,128318.5,0.820274289036682
2011-08-01,129362.5,0.81360053304862
2011-09-01,131002.166666667,1.26749766483074
2011-10-01,132641.833333333,1.25163324270718
2011-11-01,134281.5,1.23616104019471
2011-12-01,132077.666666667,-1.64120398813935
2012-01-01,129873.833333333,-1.66858893630767
2012-02-01,127670,-1.69690327664156
2012-03-01,128860.833333333,0.932743270410685
2012-04-01,130051.666666667,0.924123570001223
2012-05-01,131242.5,0.915661724186556
2012-06-01,132403,0.884241004247865
2012-07-01,133563.5,0.876490713956635
2012-08-01,134724,0.868875104351119
2012-09-01,136226,1.11487188622665
2012-10-01,137728,1.10257953694595
2012-11-01,139230,1.09055529739777
2012-12-01,137519.5,-1.22854269913093
2013-01-01,135809,-1.24382360319809
2013-02-01,134098.5,-1.25948943000832
2013-03-01,134973.5,0.652505434438111
2013-04-01,135848.5,0.648275402208576
2013-05-01,136723.5,0.644099861242498
2013-06-01,138599.833333333,1.37235612995084
2013-07-01,140476.166666667,1.35377748169492
2013-08-01,142352.5,1.33569514164322
2013-09-01,143395,0.732336980383197
2013-10-01,144437.5,0.72701279681997
2013-11-01,145480,0.721765469493718
2013-12-01,143249.666666667,-1.53308587663824
2014-01-01,141019.333333333,-1.55695533904675
2014-02-01,138789,-1.58157983066153
2014-03-01,140239.833333333,1.04535181702681
2014-04-01,141690.666666667,1.03453726295073
2014-05-01,143141.5,1.02394417886851
2014-06-01,144670.666666667,1.06829023495401
2014-07-01,146199.833333333,1.05699842400671
2014-08-01,147729,1.04594282483221
2014-09-01,149222.833333333,1.01119843316704
2014-10-01,150716.666666667,1.00107557266147
2014-11-01,152210.5,0.991153378303644
2014-12-01,149571.5,-1.73378314899432
2015-01-01,146932.5,-1.76437356047108
2015-02-01,144293.5,-1.79606281796063
2015-03-01,145429.666666667,0.78739975582176
2015-04-01,146565.833333333,0.781248209329122
2015-05-01,147702,0.775192035433436
2015-06-01,149235.5,1.03823915722197
2015-07-01,150769,1.02757051773874
2015-08-01,152302.5,1.01711890375342
2015-09-01,153536.666666667,0.810339073007116
2015-10-01,154770.833333333,0.803825362019928
2015-11-01,156005,0.797415533719215
2015-12-01,154132.5,-1.20028204224224
2016-01-01,152260,-1.21486383468768
2016-02-01,150387.5,-1.22980428214896
2016-03-01,151722.666666667,0.887817582356676
2016-04-01,153057.833333333,0.880004745500584
2016-05-01,154393,0.87232821580514
2016-06-01,156598.166666667,1.42828150671772
2016-07-01,158803.333333333,1.4081688908661
2016-08-01,161008.5,1.38861484855481
2016-09-01,162466.166666667,0.905335225572967
2016-10-01,163923.833333333,0.897212445257822
2016-11-01,165381.5,0.889234126011784
2016-12-01,162508.833333333,-1.73699396042888
2017-01-01,159636.166666667,-1.76769878150213
2017-02-01,156763.5,-1.79950867441274
2017-03-01,158120.5,0.865635176555757
2017-04-01,159477.5,0.858206241442439
2017-05-01,160834.5,0.850903732501451
2017-06-01,162227,0.865796828416787
2017-07-01,163619.5,0.858365130342054
2017-08-01,165012,0.851059928675979
2017-09-01,166672,1.00598744333746
2017-10-01,168332,0.995968129019875
2017-11-01,169992,0.986146424922185
2017-12-01,167502.166666667,-1.46467676910287
2018-01-01,165012.333333333,-1.48644843400036
2018-02-01,162522.5,-1.5088771142359
2018-03-01,163975.5,0.894030057376671
2018-04-01,165428.5,0.886107985644191
2018-05-01,166881.5,0.878325076997011
2018-06-01,168747.166666667,1.11795895091227
2018-07-01,170612.833333333,1.1055988100541
2018-08-01,172478.5,1.09350898769827
2018-09-01,174313.5,1.06390071806051
2018-10-01,176148.5,1.0527010243039
2018-11-01,177983.5,1.04173467273352
2018-12-01,174438.5,-1.99175766292943
2019-01-01,170893.5,-2.03223485641071
2019-02-01,167348.5,-2.07439136070126
2019-03-01,169317.833333333,1.17678576941731
2019-04-01,171287.166666667,1.16309859071744
2019-05-01,173256.5,1.14972614216089
2019-06-01,174638.5,0.797661271005712
2019-07-01,176020.5,0.791348986620943
2019-08-01,177402.5,0.785135822247973
2019-09-01,178008.666666667,0.341690036311015
2019-10-01,178614.833333333,0.340526491219539
2019-11-01,179221,0.339370843593612
2019-12-01,174564.333333333,-2.59828182337263
2020-01-01,169907.666666667,-2.66759341828133
2020-02-01,165251,-2.74070426486542
2020-03-01,154827,-6.30797998196683
2020-04-01,144403,-6.73267582527596
2020-05-01,133979,-7.21868659238382
2020-06-01,143513.5,7.11641376633652
2020-07-01,153048,6.64362586098173
2020-08-01,162582.5,6.22974491662747
2020-09-01,164030,0.89031722356343
2020-10-01,165477.5,0.882460525513618
2020-11-01,166925,0.874741279025848
2020-12-01,162044.333333333,-2.92386800459289
2021-01-01,157163.666666667,-3.01193294839066
2021-02-01,152283,-3.10546754869128
2021-03-01,157644.166666667,3.52052866483235
2021-04-01,163005.333333333,3.40080244009451
2021-05-01,168366.5,3.28895169074224
2021-06-01,171469.666666667,1.84310220065551
2021-07-01,174572.833333333,1.80974671905041
2021-08-01,177676,1.77757707623465
