,Title,CPI.INDEX.00..ALL.ITEMS.2015.100,inflation,table57,GBRCPIALLMINMEI_PCH
520,2016 JUN,100.6,0.199203187,0.201151142,0.19841
521,2016 JUL,100.6,0,-0.052671331,-0.09901
522,2016 AUG,100.9,0.298210736,0.325143431,0.29732
523,2016 SEP,101.1,0.198216056,0.237863981,0.29644
524,2016 OCT,101.2,0.098911968,0.066246119,0.09852
525,2016 NOV,101.4,0.197628458,0.21342819,0.19685
526,2016 DEC,101.9,0.493096647,0.472288776,0.39293
527,2017 JAN,101.4,-0.490677134,-0.533856722,-0.39139
528,2017 FEB,102.1,0.690335306,0.722206875,0.58939
529,2017 MAR,102.5,0.391772772,0.385941541,0.29297
530,2017 APR,102.9,0.390243902,0.45568978,0.48685
531,2017 MAY,103.3,0.388726919,0.349687709,0.2907
532,2017 JUN,103.3,0,-0.024199247,0
533,2017 JUL,103.2,-0.096805421,-0.066806088,0
534,2017 AUG,103.8,0.581395349,0.552245313,0.48309
535,2017 SEP,104.1,0.289017341,0.33338151,0.28846
536,2017 OCT,104.2,0.096061479,0.106596499,0.09588
537,2017 NOV,104.6,0.383877159,0.302181462,0.28736
538,2017 DEC,104.9,0.286806883,0.355786796,0.28653
539,2018 JAN,104.4,-0.476644423,-0.517492781,-0.47619
540,2018 FEB,104.9,0.478927203,0.447378001,0.38278
541,2018 MAR,105,0.095328885,0.141149991,0.19066
542,2018 APR,105.4,0.380952381,0.380948753,0.38059
543,2018 MAY,105.8,0.379506641,0.388041859,0.37915
544,2018 JUN,105.8,0,0.00094509,0
545,2018 JUL,105.8,0,-0.039693416,0
546,2018 AUG,106.5,0.661625709,0.727056132,0.56657
547,2018 SEP,106.6,0.093896714,0.105126809,0.0939
548,2018 OCT,106.7,0.09380863,0.079699953,0.09381
549,2018 NOV,107,0.281162137,0.222045252,0.18744
550,2018 DEC,107.1,0.093457944,0.154245971,0.18709
551,2019 JAN,106.3,-0.746965453,-0.767241943,-0.65359
552,2019 FEB,106.8,0.470366886,0.46841932,0.37594
553,2019 MAR,107,0.187265918,0.178817185,0.18727
554,2019 APR,107.6,0.560747664,0.587828492,0.56075
555,2019 MAY,107.9,0.278810409,0.292661173,0.27881
556,2019 JUN,107.9,0,-0.013895579,0
557,2019 JUL,107.9,0,0.014824011,0.09268
558,2019 AUG,108.4,0.46339203,0.394630798,0.27778
559,2019 SEP,108.5,0.092250923,0.095963091,0.09234
560,2019 OCT,108.3,-0.184331797,-0.166852571,-0.09225
561,2019 NOV,108.5,0.184672207,0.2317679,0.18467
