"","term","estimate","std.error","statistic","p.value"
"53","lag11",-0.106417616204561,0.049094647115353,-2.16760120415006,0.0309833222606508
"54","CPI_lag5",0.765928692146322,0.284562237202992,2.69160342452589,0.00751412598742002
"55","CPI_lag6",0.602885055146902,0.290709915603634,2.07383726108916,0.0389560048795052
"56","CPI_lag8",0.664584554440872,0.281979948105797,2.35685040338941,0.0190797113039415
"57","CPI_lag11",0.657211450835912,0.287436481979317,2.2864580247792,0.0229312298389513
"58","(Intercept)",0.745688125462732,0.286390149296504,2.60374921167666,0.00967518210326913
"59","lag1",-0.333122625438819,0.0532192430687458,-6.25943937249369,0.00000000131804959001681
"60","lag9",0.147322939236573,0.053490872221267,2.75416969510548,0.00623974341201033
"61","lag11",-0.11318042666772,0.0545080806586158,-2.07639721120561,0.038699977084899
"62","CPI_lag4",1.34367127581198,0.365746916933416,3.673773348735,0.000282505488008781
"63","(Intercept)",1.32641450547776,0.212525760241272,6.24119402735904,0.00000000146173091483761
"64","lag1",-0.262578038640719,0.0553729475940378,-4.74199135227166,0.0000032624745201432
"65","lag2",-0.132211486782271,0.0554809014864273,-2.38300898579695,0.0177879744610577
"66","lag7",0.149645775673814,0.0544006185385583,2.75081018734644,0.00630248794462704
"67","lag12",0.18664425153466,0.0539606160393488,3.45889771529956,0.000620140013040617
"68","(Intercept)",1.04252476738396,0.400940954627918,2.6001952540654,0.00977523207100848
"69","lag1",-0.559001894698881,0.0517367293014212,-10.8047397322336,0.000000000000000000000031796273119996
"70","lag2",-0.239441758458431,0.0514177821429593,-4.65678892552581,0.00000481872349843965
"71","lag12",0.130949469177976,0.0461881486534266,2.83513137018236,0.00488975393839111
"72","CPI_lag3",1.41028703858804,0.404794781418395,3.48395558274348,0.000567172053830698
"73","CPI_lag6",1.44805231125101,0.410549639293843,3.527106524175,0.000485389754736922
"74","(Intercept)",0.51719697646122,0.253915749062556,2.03688419631585,0.0425363903413506
"75","lag1",-0.530809118901463,0.0532804088592601,-9.96255716249462,0.0000000000000000000215686890302878
"76","lag2",-0.258918472004789,0.0530059996515092,-4.88470123584241,0.0000016854175186756
"77","lag9",-0.102204913178314,0.0480616474664371,-2.12653786472231,0.0342718739939924
"78","lag12",0.155068327843597,0.0478782751563206,3.23880355625396,0.00133453587539989
"79","CPI_lag3",0.603549532326585,0.253074325886064,2.38487065099724,0.0177040204839474
"80","CPI_lag6",0.967784066321353,0.25620395798557,3.77739701576297,0.00019098115780008
"81","(Intercept)",0.375303063785589,0.419816833053159,0.893968593531994,0.372057699323196
"82","lag1",-0.264256293206389,0.0548570479028891,-4.8171803498101,0.00000231792229771823
"83","lag2",-0.236756719999809,0.0548588117668076,-4.31574641109996,0.0000216479730429196
"84","lag3",-0.278911988176492,0.0541145828290082,-5.15410031077576,0.000000463990261108967
"85","lag10",0.148253179486209,0.0531862853999292,2.78743248135179,0.00565288272948865
"86","lag12",0.15665223961111,0.0543209436566462,2.88382765589058,0.0042139797821119
"87","CPI_lag1",0.75925794479162,0.351819956426081,2.15808663187969,0.0317170423882785
"88","CPI_lag6",1.45214262915193,0.35451653431289,4.09612102286404,0.0000541436733450359
"89","CPI_lag7",-0.720079279389589,0.357886173950728,-2.01203436120649,0.045112995077019
"90","(Intercept)",0.322120155418325,0.157270977137851,2.04818563018134,0.0413977325381224
"91","lag12",0.268947814091814,0.0525429185706111,5.118631043123,0.000000545823523215682
"92","CPI_lag4",0.584367710402963,0.199538396974664,2.92859780003726,0.003661516942547
