,cola,colB,colc,winner
172,LUBRICANTS,..,NA,NA
173,MAINTENANCE AND REPAIRS,23,NA,NA
174,OTHER SERVICES,6,NA,NA
175,"HIRE OF GARAGES, PARKING SPACES AND PERSONAL TRANSPORT EQUIPMENT",..,NA,NA
176,TOLL FACILITIES AND PARKING METERS,..,NA,NA
177,"DRIVING LESSONS, TEST LICENCES AND ROAD WORTHINESS TESTS",..,NA,NA
178,TRANSPORT SERVICES,32,NA,NA
179,PASSENGER TRANSPORT BY RAILWAY,8,NA,NA
180,PASSENGER TRANSPORT BY TRAIN,..,NA,NA
181,PASSENGER TRANSPORT BY UNDERGROUND AND TRAM,..,NA,NA
182,PASSENGER TRANSPORT BY ROAD AND OTHER TRANSPORT SERVICES,14,NA,NA
183,PASSENGER TRANSPORT BY BUS AND COACH,..,NA,NA
184,PASSENGER TRANSPORT BY TAXI AND HIRED CAR WITH DRIVER,..,NA,NA
185,REMOVAL AND STORAGE SERVICES,..,NA,NA
186,PASSENGER TRANSPORT BY AIR,8,NA,NA
187,PASSENGER TRANSPORT BY SEA AND INLAND WATERWAY,2,NA,NA
188,POSTAL SERVICES,1,NA,NA
189,TELEPHONE AND TELEFAX EQUIPMENT AND SERVICES,22,NA,NA
190,FIXED TELEPHONE EQUIPMENT,..,NA,NA
191,MOBILE TELEPHONE EQUIPMENT,..,NA,NA
192,WIRED TELEPHONE SERVICES,..,NA,NA
193,WIRELESS TELEPHONE SERVICES,..,NA,NA
194,INTERNET ACCESS PROVISION SERVICES,..,NA,NA
195,BUNDLED TELECOMMUNICATION SERVICES,..,NA,NA
196,AUDIO-VISUAL EQUIPMENT AND RELATED PRODUCTS,27,NA,NA
197,RECEPTION AND REPRODUCTION OF SOUND AND PICTURES,6,NA,NA
198,"EQUIPMENT FOR THE RECEPTION, RECORDING AND REPRODUCTION OF SOUND",..,NA,NA
199,"EQUIPMENT FOR THE RECEPTION, RECORDING AND REPRODUCTION OF SOUND AND VISION",..,NA,NA
200,PORTABLE SOUND AND VISION DEVICES,..,NA,NA
