date,CPIH,01FB,02AT,03CF,04HW,05FH,06HL,07TR,08CM,09RC,10ED,11RH,12MS
2003/6/1,-0.158837621,-0.553929617,0.092724443,-0.838056949,-0.090649565,-0.598602466,0.152962608,-0.043307541,-0.774004137,-0.364786233,0,0.310693018,0.190203846
2003/7/1,-0.082153196,-0.020098483,0.087675765,-3.904485799,-0.006771031,-1.09524952,0.913597045,1.259351261,0.841682918,-0.598927502,0,0.212222891,0.593094961
2003/8/1,0.268848779,0.053128096,0.530552204,2.235148131,-0.024377362,0.278967094,0.053659141,0.436432096,-0.035564644,0.183163015,0,0.19603354,0.43211162
2003/9/1,0.212159471,0.729047072,-0.100289359,2.685439456,-0.00677314,1.121230814,0.233773377,-1.16444192,0.512535438,0.011988731,2.569616763,0.225640147,0.260484164
2003/10/1,0.129883624,0.24933037,0.128367592,-0.480193851,0.17340414,-0.849241663,0.300452737,-0.186781609,-0.358383293,-0.086907878,2.08590936,0.190934868,1.287403865
2003/11/1,-0.032428786,0.281397894,-0.777436268,0.378585427,0.048685492,0.764832195,0.077965777,-0.739887721,-0.581692236,-0.222957638,0,0.24034701,-0.045941221
2003/12/1,0.260812021,0.287694335,-0.369401007,-1.247578057,0.055420384,1.16368164,-0.563103081,1.911363768,-0.063645905,-0.130265742,0,0.219908064,0.242578998
2004/1/1,-0.345550551,-0.255779775,0.655083548,-3.121279065,0.213452939,-2.839053254,0.2680265,-0.586276575,0.014524977,-0.781610579,0,0.099095401,0.691587595
2004/2/1,0.232464513,0.256435686,0.003303655,-0.21411952,0.25074482,1.107172872,-0.179577513,0.482379548,0.614429028,-0.136519462,0,0.127282241,0.21756179
2004/3/1,0.14252397,0.036741846,0.203168101,0.019366334,0.099509178,0.554150102,0.196380016,-0.001424522,0.073281222,0.030379132,0,0.497182164,0.073204594
2004/4/1,0.461896752,-0.265574234,1.295661348,-0.206017891,1.008879754,-0.380975201,0.501637861,0.830507992,0.482636192,0.303699054,0,0.354176329,-0.157653113
2004/5/1,0.288485067,0.303107561,0.206672091,0.260770359,0.030589174,0.804550702,0.126829135,1.493338608,-0.09716778,-0.297733191,0,0.298306794,0.068213686
2004/6/1,-0.020546802,-0.749830547,0.017863813,-1.053527886,0.081103001,-0.137197122,0.16889131,0.077953172,-0.452048587,0.487918451,0,0.22760277,-0.10477549
2004/7/1,-0.182390341,-0.653055417,0.349093979,-4.068093629,0.037197439,-2.099013213,0.104699228,1.375636354,-1.159124217,-0.206509585,0,0.133743853,0.293173604
2004/8/1,0.204598973,-0.246326583,0.304192353,1.343130219,0.066399299,0.549122015,-0.054332324,0.445920173,-0.031452193,0.026245659,0,0.207304348,0.253257062
2004/9/1,0.060355455,0.274212536,0.19196335,2.580650353,0.09687865,1.057051663,0.516437667,-1.71429352,-0.991055778,-0.067615299,2.396124072,0.086082417,0.241306069
2004/10/1,0.265660494,0.20044384,-0.051521494,-0.019611227,0.478621147,-0.835835235,0.46510999,-0.159826553,0.144131466,-0.021207194,2.507200165,0.31073995,1.285121428
2004/11/1,0.168957837,0.451525327,-0.57508296,0.408778138,0.226954847,0.802916172,0.041719938,0.034800523,-0.343377795,-0.172723783,0,0.294565067,0.143592791
2004/12/1,0.465128166,0.660019061,-0.466615901,-1.382312032,0.277785092,2.297055396,-0.152012484,1.807606139,-0.3491096,0.207424796,0,0.233029522,0.171817058
2005/1/1,-0.382844496,0.20066417,1.012485146,-3.616338497,0.248132442,-3.961291383,0.697896878,-1.567753752,-0.119820611,-0.536168666,0,0.119683046,1.101938573
