"","date_all","CPI","1 months difference ","2 months difference ","3 months difference ","4 months difference ","5 months difference ","6 months difference ","7 months difference ","8 months difference ","9 months difference ","10 months difference ","11 months difference ","12 months difference ","excluding_food_and_energy","Trimmed_mean","sticky","ar","TM","EXFD","Sticky","Baseline"
"246",2009-06-01,1.8,0,-0.2,-0.7,-0.3,0.0999999999999999,1.1,1.7,1.2,1.6,1.9,1.6,1.4,-0.196659525549394,-0.35865452706494,2.232032221,-0.0406534513623071,2.15865452706494,1.99665952554939,-0.432032221,0.628440116264426
"247",2009-07-01,1.8,-0.2,-0.7,-0.3,0.0999999999999999,1.1,1.7,1.2,1.6,1.9,1.6,1.4,1.3,-0.253083813323727,-0.000898482638402198,2.407979504,-0.00844473138157331,1.8008984826384,2.05308381332373,-0.607979504,0.596231396283692
"248",2009-08-01,1.6,-0.5,-0.1,0.3,1.3,1.9,1.4,1.8,2.1,1.8,1.6,1.5,1.5,-0.392337153080897,0.00409720415863601,2.539436261,-0.0792282189187783,1.59590279584136,1.9923371530809,-0.939436261,0.549231848164514
"249",2009-09-01,1.1,0.4,0.8,1.8,2.4,1.9,2.3,2.6,2.3,2.1,2,2,2,-0.664335328617253,-0.318360069116553,2.4256612,-0.107439612853358,1.41836006911655,1.76433532861725,-1.3256612,0.202749792657683
"250",2009-10-01,1.5,0.4,1.4,2,1.5,1.9,2.2,1.9,1.7,1.6,1.6,1.6,1.7,-0.363196608544541,0.0686279354668349,2.780222207,0.182868421473655,1.43137206453317,1.86319660854454,-1.280222207,0.22259668663451
"251",2009-11-01,1.9,1,1.6,1.1,1.5,1.8,1.5,1.3,1.2,1.2,1.2,1.3,1.4,0.0261356132490256,0.659147280639481,3.638664083,0.156059563492545,1.24085271936052,1.87386438675097,-1.738664083,0.48579432267985
"252",2009-12-01,2.9,0.6,0.1,0.5,0.8,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.8,0.0883379284269625,0.705891639323961,3.800462643,0.461827003873099,2.19410836067604,2.81166207157304,-0.900462643,0.602883733119329
"253",2010-01-01,3.5,-0.5,-0.1,0.2,-0.1,-0.3,-0.4,-0.4,-0.4,-0.3,-0.2,0.2,0.5,0.473126610486913,1.05722544151537,4.277841198,0.290734118237203,2.44277455848463,3.02687338951309,-0.777841198,0.962028850258165
"254",2010-02-01,3,0.4,0.7,0.4,0.2,0.1,0.1,0.1,0.2,0.3,0.7,1,1.4,0.304021114767777,1.38499085846366,3.234905391,0.195677938667946,1.61500914153634,2.69597888523222,-0.234905391,0.902934350000164
"255",2010-03-01,3.4,0.3,0,-0.2,-0.3,-0.3,-0.3,-0.2,-0.1,0.3,0.6,1,0.6,0.547154412375634,1.78182926321186,3.646480025,0.107585673082392,1.61817073678814,2.85284558762437,-0.246480025,1.11618975853972
"256",2010-04-01,3.7,-0.3,-0.5,-0.6,-0.6,-0.6,-0.5,-0.4,0,0.3,0.7,0.3,0.8,0.721353409225819,1.82582642337651,3.66109053,-0.168437641794297,1.87417357662349,2.97864659077418,0.03890947,1.47677046144448
"257",2010-05-01,3.4,-0.2,-0.3,-0.3,-0.3,-0.2,-0.1,0.3,0.6,1,0.6,1.1,1.1,0.647882422566099,1.71524038977544,3.476399972,-0.175585577537043,1.68475961022456,2.7521175774339,-0.076399972,1.39936100915916
"258",2010-06-01,3.2,-0.1,-0.1,-0.1,0,0.0999999999999996,0.5,0.8,1.2,0.8,1.3,1.3,1,0.240178201677641,1.55216844733592,3.246090291,-0.176664863932362,1.64783155266408,2.95982179832236,-0.046090291,1.33981567373804
"259",2010-07-01,3.1,0,0,0.1,0.2,0.6,0.9,1.3,0.9,1.4,1.4,1.1,1.3,0.491874831978628,1.34765234606063,3.099818013,-0.0251332847034729,1.75234765393937,2.60812516802137,0.000181987,1.15653539619457
"260",2010-08-01,3.1,0,0.1,0.2,0.6,0.9,1.3,0.9,1.4,1.4,1.1,1.3,1.4,0.366255685138637,1.26368375437143,2.898142768,0.0492014355391235,1.83631624562857,2.73374431486136,0.201857232,1.08220067595198
"261",2010-09-01,3.1,0.1,0.2,0.6,0.9,1.3,0.9,1.4,1.4,1.1,1.3,1.4,2.1,0.232287487129838,0.838916799894837,2.649217161,-0.0133531043424584,2.26108320010516,2.86771251287016,0.450782839,1.14475521583356
"262",2010-10-01,3.2,0.0999999999999996,0.5,0.8,1.2,0.8,1.3,1.3,1,1.2,1.3,2,1.8,0.290831135941982,1.10406582221838,3.006686264,0.0785750061942392,2.09593417778162,2.90916886405802,0.193313736,1.08457580361144
"263",2010-11-01,3.3,0.4,0.7,1.1,0.7,1.2,1.2,0.9,1.1,1.2,1.9,1.7,1.5,0.312209942131607,0.769004072234533,2.695419427,0.130677573109154,2.53099592776547,2.98779005786839,0.604580573,1.06324489536328
"264",2010-12-01,3.7,0.3,0.7,0.3,0.8,0.8,0.5,0.7,0.8,1.5,1.3,1.1,0.5,0.702149868644465,1.17800163325193,2.970012519,0.167888489588691,2.52199836674807,2.99785013135554,0.729987481,1.14044433006149
"265",2011-01-01,4,0.4,0,0.5,0.5,0.2,0.4,0.5,1.2,1,0.8,0.2,-0.4,0.870105591002385,1.13220715299296,2.711114992,0.141520876796441,2.86779284700704,3.12989440899762,1.288885008,1.24477348432345
"266",2011-02-01,4.4,-0.4,0.0999999999999996,0.0999999999999996,-0.2,0,0.0999999999999996,0.8,0.6,0.399999999999999,-0.2,-0.8,-1,1.07954661347181,1.14610614122983,4.18190656,0.160232232009264,3.25389385877017,3.32045338652819,0.21809344,1.32137230891495
"267",2011-03-01,4,0.5,0.5,0.2,0.4,0.5,1.2,1,0.8,0.2,-0.4,-0.6,-0.5,0.800290581321088,0.933096619824699,3.922197854,0.032823028131536,3.0669033801753,3.19970941867891,0.077802146,1.35347133298835
"268",2011-04-01,4.5,0,-0.3,-0.0999999999999996,0,0.7,0.5,0.3,-0.3,-0.9,-1.1,-1,-1.5,0.645601671520196,1.49908359254679,4.586148535,0.1176477774089,3.00091640745321,3.8543983284798,-0.086148535,1.38642961936737
"269",2011-05-01,4.5,-0.3,-0.0999999999999996,0,0.7,0.5,0.3,-0.3,-0.9,-1.1,-1,-1.5,-1.7,0.965932493038671,1.32086743494869,4.319666928,0.0129949271860332,3.17913256505131,3.53406750696133,0.180333072,1.49108246959024
"270",2011-06-01,4.2,0.2,0.3,1,0.8,0.6,0,-0.6,-0.8,-0.7,-1.2,-1.4,-1.8,1.1756993471376,0.906472045638936,3.760591158,0.00964334919192678,3.29352795436106,3.0243006528624,0.439408842,1.4254411760974
"271",2011-07-01,4.4,0.0999999999999996,0.8,0.6,0.399999999999999,-0.2,-0.8,-1,-0.9,-1.4,-1.6,-2,-1.8,0.942086260645417,0.946745661650535,3.893075284,0.0419747285395344,3.45325433834947,3.45791373935458,0.506924716,1.43962981238468
"272",2011-08-01,4.5,0.7,0.5,0.3,-0.3,-0.9,-1.1,-1,-1.5,-1.7,-2.1,-1.9,-2,1.15788864481952,0.86984533208508,3.948222315,0.0771151963610259,3.63015466791492,3.34211135518048,0.551777685,1.42696220041525
"273",2011-09-01,5.2,-0.2,-0.4,-1,-1.6,-1.8,-1.7,-2.2,-2.4,-2.8,-2.6,-2.7,-3,1.72462780698247,1.69299745530173,4.483396048,0.190285197010575,3.50700254469827,3.47537219301753,0.716603952,1.45837342857681
"274",2011-10-01,5,-0.2,-0.8,-1.4,-1.6,-1.5,-2,-2.2,-2.6,-2.4,-2.5,-2.8,-2.3,1.60868063239792,1.59780196006091,4.398568459,0.0619622547914644,3.40219803993909,3.39131936760208,0.601431541,1.54747565764264
"275",2011-11-01,4.8,-0.6,-1.2,-1.4,-1.3,-1.8,-2,-2.4,-2.2,-2.3,-2.6,-2.1,-2.1,1.55443066147419,1.88716162305375,4.551574471,0.123175397665366,2.91283837694625,3.24556933852581,0.248425529,1.44544052024848
"276",2011-12-01,4.2,-0.6,-0.8,-0.7,-1.2,-1.4,-1.8,-1.6,-1.7,-2,-1.5,-1.5,-1.5,1.17520234894337,1.53021608077859,4.05736246,-0.000766631660963579,2.66978391922141,3.02479765105663,0.14263754,1.43585115695029
"277",2012-01-01,3.6,-0.2,-0.1,-0.6,-0.8,-1.2,-1,-1.1,-1.4,-0.9,-0.9,-0.9,-0.9,1.01987971137124,1.60216740406773,4.315346375,-0.0622543585731206,1.99783259593227,2.58012028862876,-0.715346375,1.34318820403518
"278",2012-02-01,3.4,0.1,-0.4,-0.6,-1,-0.8,-0.9,-1.2,-0.7,-0.7,-0.7,-0.7,-0.6,0.911112787204567,1.51788210613472,3.459286005,-0.0573650602051621,1.88211789386528,2.48888721279543,-0.059286005,1.28114049182728
"279",2012-03-01,3.5,-0.5,-0.7,-1.1,-0.9,-1,-1.3,-0.8,-0.8,-0.8,-0.8,-0.7,-0.7,1.10881047239051,1.47768243981593,3.617574449,0.0198289522091002,2.02231756018407,2.39118952760949,-0.117574449,1.23293401628627
